,epoch,precision,recall,F1_score,Bleu_4,ROUGE_L,CIDEr,loss,reference,candidate
0,1,0.989110708,0.52303263,0.684243566,0.357473291,4.774051644,0.000742881,9.841081028,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,( ( foaled ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was (
1,2,0.983532934,0.630518234,0.768421053,1.279377672,14.55141511,0.063365728,4.923885528,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) Roberto (horse) Roberto (horse) Thoroughbred Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Lear Fan Kris S. Kris S. Kris S. Kris S. Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Lear Fan Lear Fan Kris S. Lear Fan Kris S. Lear Fan Kris S. Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan
2,3,0.985274431,0.706333973,0.822806037,3.672434096,21.84609182,0.149272765,3.886577494,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( foaled Kris S. Kris S. was was was and sire .
3,4,0.987194412,0.813819578,0.89216202,4.839557841,30.09537333,0.269393999,3.284584737,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American Thoroughbred racehorse and sire .
4,5,0.987457241,0.83109405,0.902553413,8.229016581,32.95744563,0.320080728,2.858062126,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American Thoroughbred racehorse and sire .
5,6,0.987356322,0.8243762,0.898535565,6.116548529,34.02820344,0.346597003,2.523903384,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire .
6,7,0.987612613,0.841650672,0.90880829,5.814261308,38.06754432,0.465031852,2.245411461,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( Brian's Time â€?) was an American-bred Thoroughbred racehorse and sire . his progeny were his progeny were and sire . his progeny were his progeny were his progeny were were and sire . his progeny were his progeny were his progeny were were his progeny were were his progeny were were his progeny were were his progeny were were his progeny were were were his progeny were were were his progeny were were were his progeny were were were his progeny were were were his progeny were were were were his progeny were were were were his progeny
7,8,0.987695749,0.847408829,0.912190083,5.602722047,38.20313776,0.471726277,2.025167714,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire .
8,9,0.987777778,0.853166987,0.915550978,7.122317439,40.51960239,0.593679021,1.823248605,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire . his sire was sired by the most of the Year and sire . his progeny were his progeny were his progeny were were and sire . his progeny were his progeny were were his progeny were were his progeny were were . his progeny were his progeny were were his progeny were were his progeny were were his progeny were were his progeny were were his progeny were were his progeny were were his progeny were were his progeny were were his progeny were were his progeny
9,10,0.987471526,0.832053743,0.903125,7.36957305,40.36911712,0.628611065,1.634127737,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was a British Thoroughbred racehorse and sire .
